diagnosis,scenario_ids,count_in_file,source,guideline_title,guideline_id,guideline_origin_path,guideline_txt_file,strict_matched_alias,strict_match_score
"Abdominal pain, epigastric",163,1,uptodate,Evaluation of the adult with abdominal pain,15291.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/15291.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/abdominal_pain_epigastric_uptodate.txt,abdominal pain,4.0
"Abdominal pain, right lower quadrant",8,1,uptodate,Evaluation of the adult with abdominal pain,15291.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/15291.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/abdominal_pain_right_lower_quadrant_uptodate.txt,abdominal pain,4.0
Achalasia and cardiospasm,83,1,mayoclinic,Achalasia,197,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/achalasia_and_cardiospasm_mayoclinic.txt,achalasia,4.0
Acute Pharyngitis,"86,108,127",3,uptodate,Evaluation of acute pharyngitis in adults,11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/acute_pharyngitis_uptodate.txt,pharyngitis,4.0
Acute appendicitis with generalized peritonitis,170,1,mayoclinic,Appendicitis,752,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/acute_appendicitis_with_generalized_peritonitis_mayoclinic.txt,appendicitis,4.0
Acute appendicitis without mention of peritonitis,"21,26,54,55,88,156,174,198",8,mayoclinic,Appendicitis,752,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/acute_appendicitis_without_mention_of_peritonitis_mayoclinic.txt,appendicitis,4.0
Acute infective polyneuritis,5,1,mayoclinic,Guillain-Barre syndrome,756,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/acute_infective_polyneuritis_mayoclinic.txt,guillain barre syndrome,4.0
"Acute pericarditis, unspecified",115,1,mayoclinic,Pericarditis,610,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/acute_pericarditis_unspecified_mayoclinic.txt,pericarditis,4.0
Acute pharyngitis,"38,66,104",3,uptodate,Evaluation of acute pharyngitis in adults,11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/acute_pharyngitis_uptodate_2.txt,pharyngitis,4.0
"Acute pharyngitis, unspecified",185,1,uptodate,Evaluation of acute pharyngitis in adults,11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/acute_pharyngitis_unspecified_uptodate.txt,pharyngitis,4.0
Acute tonsillitis,135,1,mayoclinic,Tonsillitis,991,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/acute_tonsillitis_mayoclinic.txt,tonsillitis,4.0
Atrial fibrillation,98,1,mayoclinic,Atrial fibrillation,833,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/atrial_fibrillation_mayoclinic.txt,atrial fibrillation,4.0
Bacterial Pharyngitis,95,1,uptodate,Evaluation of acute pharyngitis in adults,11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/bacterial_pharyngitis_uptodate.txt,pharyngitis,4.0
Bacterial Vaginosis,187,1,mayoclinic,Bacterial vaginosis,357,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/bacterial_vaginosis_mayoclinic.txt,bacterial vaginosis,4.0
"Calculus of bile duct without mention of cholecystitis, without mention of obstruction",7,1,mayoclinic,Cholecystitis,204,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/calculus_of_bile_duct_without_mention_of_cholecystitis_without_mention_of_obstruction_mayoclinic.txt,cholecystitis,4.0
"Calculus of gallbladder and bile duct with other cholecystitis, without mention of obstruction",199,1,mayoclinic,Cholecystitis,204,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/calculus_of_gallbladder_and_bile_duct_with_other_cholecystitis_without_mention_of_obstruction_mayoclinic.txt,cholecystitis,4.0
Calculus of gallbladder with acute and chronic cholecystitis without obstruction,172,1,mayoclinic,Cholecystitis,204,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/calculus_of_gallbladder_with_acute_and_chronic_cholecystitis_without_obstruction_mayoclinic.txt,cholecystitis,4.0
"Calculus of gallbladder with acute cholecystitis, without mention of obstruction",30,1,mayoclinic,Cholecystitis,204,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/calculus_of_gallbladder_with_acute_cholecystitis_without_mention_of_obstruction_mayoclinic.txt,cholecystitis,4.0
"Calculus of gallbladder with other cholecystitis, without mention of obstruction",124,1,mayoclinic,Cholecystitis,204,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/calculus_of_gallbladder_with_other_cholecystitis_without_mention_of_obstruction_mayoclinic.txt,cholecystitis,4.0
Calculus of kidney,"125,183",2,mayoclinic,Kidney stones,30,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/calculus_of_kidney_mayoclinic.txt,kidney stones,4.0
Calculus of ureter,"56,190",2,mayoclinic,Kidney stones,30,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/calculus_of_ureter_mayoclinic.txt,kidney stones,4.0
Cellulitis and abscess of face,"0,152",2,mayoclinic,Cellulitis,205,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/cellulitis_and_abscess_of_face_mayoclinic.txt,cellulitis,4.0
"Cellulitis and abscess of finger, unspecified",162,1,mayoclinic,Cellulitis,205,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/cellulitis_and_abscess_of_finger_unspecified_mayoclinic.txt,cellulitis,4.0
"Cellulitis and abscess of foot, except toes",45,1,mayoclinic,Cellulitis,205,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/cellulitis_and_abscess_of_foot_except_toes_mayoclinic.txt,cellulitis,4.0
"Cellulitis and abscess of leg, except foot","48,134,169,175",4,mayoclinic,Cellulitis,205,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/cellulitis_and_abscess_of_leg_except_foot_mayoclinic.txt,cellulitis,4.0
Cellulitis and abscess of upper arm and forearm,"138,145",2,mayoclinic,Cellulitis,205,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/cellulitis_and_abscess_of_upper_arm_and_forearm_mayoclinic.txt,cellulitis,4.0
"Cerebral artery occlusion, unspecified with cerebral infarction",28,1,mayoclinic,Stroke,89,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/cerebral_artery_occlusion_unspecified_with_cerebral_infarction_mayoclinic.txt,stroke,4.0
Cervical spondylosis with myelopathy,147,1,mayoclinic,Cervical spondylosis,237,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/cervical_spondylosis_with_myelopathy_mayoclinic.txt,cervical spondylosis,4.0
Cervical spondylosis without myelopathy,195,1,mayoclinic,Cervical spondylosis,237,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/cervical_spondylosis_without_myelopathy_mayoclinic.txt,cervical spondylosis,4.0
"Chest pain, unspecified","18,22,29,33,35,41,42,50,53,71,76,84,96,105,106,143,151,158,159,160,165,167,177,178,179",25,mayoclinic,Chest pain,189,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/chest_pain_unspecified_mayoclinic.txt,chest pain,4.0
"Contact dermatitis and other eczema, unspecified cause",193,1,mayoclinic,Contact dermatitis,224,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/contact_dermatitis_and_other_eczema_unspecified_cause_mayoclinic.txt,contact dermatitis,4.0
Diabetes Mellitus with possible Diabetic Neuropathy,173,1,mayoclinic,Diabetic neuropathy,1764,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/diabetes_mellitus_with_possible_diabetic_neuropathy_mayoclinic.txt,diabetic neuropathy,4.0
Diverticulitis of colon (without mention of hemorrhage),"77,78,131",3,mayoclinic,Diverticulitis,1800,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/diverticulitis_of_colon_without_mention_of_hemorrhage_mayoclinic.txt,diverticulitis,4.0
Epigastric abdominal pain likely due to Gallstones/Cholelithiasis,182,1,uptodate,Evaluation of the adult with abdominal pain,15291.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/15291.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/epigastric_abdominal_pain_likely_due_to_gallstones_cholelithiasis_uptodate.txt,abdominal pain,4.0
Epistaxis,119,1,uptodate,Management of epistaxis in children,11878.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11878.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/epistaxis_uptodate.txt,epistaxis,4.0
Hydronephrosis with renal and ureteral calculous obstruction,129,1,mayoclinic,Kidney stones,30,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/hydronephrosis_with_renal_and_ureteral_calculous_obstruction_mayoclinic.txt,kidney stones,4.0
"Infective otitis externa, unspecified",32,1,uptodate,Acute otitis media in adults,15365.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/15365.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/infective_otitis_externa_unspecified_uptodate.txt,otitis media,4.0
Left tubal pregnancy without intrauterine pregnancy,52,1,mayoclinic,Ectopic pregnancy,398,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/left_tubal_pregnancy_without_intrauterine_pregnancy_mayoclinic.txt,ectopic pregnancy,4.0
Lyme Disease,13,1,mayoclinic,Lyme disease,1306,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/lyme_disease_mayoclinic.txt,lyme disease,4.0
"Malignant neoplasm of kidney, except pelvis",1,1,mayoclinic,Kidney stones,30,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/malignant_neoplasm_of_kidney_except_pelvis_mayoclinic.txt,kidney stones,4.0
"Malignant neoplasm of left kidney, except renal pelvis",72,1,mayoclinic,Kidney stones,30,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/malignant_neoplasm_of_left_kidney_except_renal_pelvis_mayoclinic.txt,kidney stones,4.0
"Migraine with aura, not intractable, without status migrainosus",14,1,mayoclinic,Migraine with aura,1144,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/migraine_with_aura_not_intractable_without_status_migrainosus_mayoclinic.txt,migraine aura,4.0
Mononucleosis (Infectious mononucleosis caused by Epstein-Barr virus),2,1,uptodate,Infectious mononucleosis,11449.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11449.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/mononucleosis_infectious_mononucleosis_caused_by_epstein_barr_virus_uptodate.txt,infectious mononucleosis,4.0
Occipital neuralgia,16,1,uptodate,Occipital neuralgia,18134.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/18134.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/occipital_neuralgia_uptodate.txt,occipital neuralgia,4.0
Onychia and paronychia of finger,17,1,uptodate,Paronychia,4465.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/4465.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/onychia_and_paronychia_of_finger_uptodate.txt,paronychia,4.0
Other chest pain,"6,100,120,180",4,mayoclinic,Chest pain,189,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/other_chest_pain_mayoclinic.txt,chest pain,4.0
Other pulmonary embolism and infarction,154,1,mayoclinic,Pulmonary embolism,450,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/other_pulmonary_embolism_and_infarction_mayoclinic.txt,pulmonary embolism,4.0
"Otitis media, unspecified, left ear",146,1,uptodate,Acute otitis media in adults,15365.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/15365.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/otitis_media_unspecified_left_ear_uptodate.txt,otitis media,4.0
Peptic Ulcer Disease,161,1,mayoclinic,Peptic ulcer,612,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/peptic_ulcer_disease_mayoclinic.txt,peptic ulcer,4.0
Pilonidal cyst with abscess,121,1,mayoclinic,Pilonidal cyst,251,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/pilonidal_cyst_with_abscess_mayoclinic.txt,pilonidal cyst,4.0
"Pneumonia, organism unspecified",74,1,mayoclinic,Pneumonia,583,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/pneumonia_organism_unspecified_mayoclinic.txt,pneumonia,4.0
Renal colic,51,1,mayoclinic,Kidney stones,30,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/renal_colic_mayoclinic.txt,kidney stones,4.0
Right tubal pregnancy without intrauterine pregnancy,114,1,mayoclinic,Ectopic pregnancy,398,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/right_tubal_pregnancy_without_intrauterine_pregnancy_mayoclinic.txt,ectopic pregnancy,4.0
"Schizoaffective disorder, unspecified",43,1,mayoclinic,Schizoaffective disorder,1694,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/schizoaffective_disorder_unspecified_mayoclinic.txt,schizoaffective disorder,4.0
Streptococcal pharyngitis,"9,58",2,uptodate,Evaluation of acute pharyngitis in adults,11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/streptococcal_pharyngitis_uptodate.txt,pharyngitis,4.0
Streptococcal sore throat,184,1,mayoclinic,Sore throat,586,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/streptococcal_sore_throat_mayoclinic.txt,sore throat,4.0
Type 2 Diabetes Mellitus with signs of hypertension and microalbuminuria,168,1,mayoclinic,Type 2 diabetes,1017,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/type_2_diabetes_mellitus_with_signs_of_hypertension_and_microalbuminuria_mayoclinic.txt,2 diabetes,4.0
"Umbilical hernia with obstruction, without gangrene",130,1,mayoclinic,Umbilical hernia,1252,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/umbilical_hernia_with_obstruction_without_gangrene_mayoclinic.txt,umbilical hernia,4.0
Unspecified acute appendicitis,"65,188",2,mayoclinic,Appendicitis,752,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/unspecified_acute_appendicitis_mayoclinic.txt,appendicitis,4.0
Unspecified appendicitis,166,1,mayoclinic,Appendicitis,752,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/unspecified_appendicitis_mayoclinic.txt,appendicitis,4.0
Unspecified intestinal obstruction,12,1,mayoclinic,Intestinal obstruction,321,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/unspecified_intestinal_obstruction_mayoclinic.txt,intestinal obstruction,4.0
Unspecified psychosis,164,1,uptodate,Psychosis in adults: Initial management,18881.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/18881.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/unspecified_psychosis_uptodate.txt,psychosis,4.0
"Unspecified schizophrenia, unspecified",196,1,mayoclinic,Schizophrenia,1655,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/unspecified_schizophrenia_unspecified_mayoclinic.txt,schizophrenia,4.0
Unspecified sinusitis (chronic),97,1,mayoclinic,Acute sinusitis,698,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/unspecified_sinusitis_chronic_mayoclinic.txt,sinusitis,4.0
